pauri,line,gu_index,gurmukhi,transliteration,translation
12,1,1,ਮੰਨੇ ਕੀ ਗਤਿ,mannai kī gat,the state of the one who has accepted (Naam / Hukam)
12,1,2,ਕਹੀ ਨ ਜਾਇ,kahī na jāī,cannot be expressed in speech
12,2,1,ਜੇ ਕੋ ਕਹੈ,je ko kahai,if anyone attempts to describe it
12,2,2,ਪਿਛੈ ਪਛੁਤਾਇ,pichhai pachhutāe,they later regret their attempt
12,3,1,ਕਾਗਦਿ ਕਲਮ,kāgad kalam,paper and pen
12,3,2,ਨ ਲਿਖਣਹਾਰੁ,na likhaṇhār,no scribe capable of recording it
12,4,1,ਮੰਨੇ ਕਾ ਬਹਿ ਕਰਨਿ,mannai kā bahi karan,people sit to discuss the one who has accepted
12,4,2,ਵੀਚਾਰੁ,vīchār,"philosophical reflection, deep contemplation"
12,5,1,ਐਸਾ ਨਾਮੁ,aisā nām,"such is the Naam, such a state of Divine remembrance"
12,5,2,ਨਿਰੰਜਨੁ ਹੋਇ,niranjan hoi,"it is immaculate, beyond the stain of māyā"
12,6,1,ਜੇ ਕੋ ਮੰਨਿ ਜਾਣੈ,je ko mann jāṇai,if some being inwardly accepts and realizes
12,6,2,ਮਨਿ ਕੋਇ ॥੧੨॥,man koe. ||12||,then that one alone knows this in their own mind. ||12||
