pauri,line,gu_index,gurmukhi,transliteration,translation
8,1,1,ਹੁਕਮੀ ਹੋਵਨਿ ਆਕਾਰ,hukamī hovan ākār,"by Hukam, forms and beings come into existence"
8,1,2,ਹੁਕਮੁ ਨ ਕਹਿਆ ਜਾਈ,hukam na kahiā jāī,yet this Hukam cannot be stated or described
8,2,1,ਹੁਕਮੀ ਹੋਵਨਿ ਜੀਅ,hukamī hovan jīa,"by Hukam, living beings arise"
8,2,2,ਹੁਕਮਿ ਮਿਲੈ ਵਡਿਆਈ,hukam milai vaḍiāī,"by Hukam, honor and greatness are obtained"
8,3,1,ਹੁਕਮੀ ਉਤਮੁ ਨੀਚੁ,hukamī utam nīc,"by Hukam, some are high and some are low"
8,3,2,ਹੁਕਮਿ ਲਿਖਿ ਦੁਖ ਸੁਖ ਪਾਈਅਹਿ,hukam likh dukh sukh pāīah,"by Hukam, pains and pleasures are written and experienced"
8,4,1,ਇਕਨਾ ਹੁਕਮੀ ਬਖਸੀਸ,iknā hukamī bakhsīs,"for some, by Hukam, there is grace and blessing"
8,4,2,ਇਕਿ ਹੁਕਮੀ ਸਦਾ ਭਵਾਈਅਹਿ,ik hukamī sadā bhavāīah,"for others, by Hukam, there is endless wandering"
8,5,1,ਹੁਕਮੇ ਅੰਦਰਿ ਸਭੁ ਕੋ,hukme andar sabh ko,everyone is within Hukam
8,5,2,ਬਾਹਰਿ ਹੁਕਮ ਨ ਕੋਇ ॥੮॥,bāhar hukam na koi ||8||,none at all is outside of Hukam. ||8||
