pauri,line,gu_index,gurmukhi,transliteration,translation
7,1,1,ਜੇ ਜੁਗ ਚਾਰੇ ਆਰਜਾ,je jug chāre ārjā,even if one’s lifespan were to last through all four ages
7,1,2,ਹੋਰ ਦਸੂਣੀ ਹੋਇ,hor dasūṇī hoi,and even become ten times greater than that
7,2,1,ਨਵਾ ਖੰਡਾ ਵਿਚਿ ਜਾਣੀਐ,navā khandā vich jāṇīai,even if one were known throughout the nine continents
7,2,2,ਨਾਲਿ ਚਲੈ ਸਭੁ ਕੋਇ,nāl chalai sabh koi,and everyone were to walk in their company
7,3,1,ਚੰਗਾ ਨਾਉ ਰਖਾਇ ਕੈ,caṅgā nāu rakhāe kai,even if one’s good name were carefully kept exalted
7,3,2,ਜਸੁ ਕੀਰਤਿ ਜਗਿ ਲੇਇ,jas kīrat jag lei,and the world were to take up and sing their praise and glory
7,4,1,ਜੇ ਤਿਸੁ ਨਦਰਿ ਨ ਆਵਈ,je tis nadar na āvaī,if the Lord’s gracious glance were not to fall on that one
7,4,2,ਤ ਵਾਤ ਨ ਪੁਛੈ ਕੇ,ta vāt na pucchai ke,then who would care about their talk at all?
7,5,1,ਕੀਟਾ ਅੰਦਰਿ ਕੀਟੁ ਕਰਿ,kīṭā andar kīṭ kar,they would be counted as a mere worm among worms
7,5,2,ਦੋਸੀ ਦੋਸੁ ਧਰੇ,dosī dos dhare,and those themselves in blame would still lay blame upon them
7,6,1,ਨਾਨਕ ਨਿਰਗੁਣਿ ਗੁਣੁ ਕਰੇ,nānak nirguṇ guṇ kare,"O Nanak, the One turns the virtue-less into one possessed of virtue"
7,6,2,ਗੁਣਵੰਤਿਆ ਗੁਣੁ ਦੇ,guṇvantiā guṇ de,and grants yet more virtue to those already full of virtue
7,7,1,ਤੇਹਾ ਕੋਇ ਨ ਸੁਝਈ,tehā koi na sujhī,there appears no such one at all
7,7,2,ਜਿ ਤਿਸੁ ਗੁਣੁ ਕੋਇ ਕਰੇ ॥੭॥,je tis guṇ koi kare ||7||,who could in any way bestow virtue upon That One. ||7||
